Medalis,Vardas Pavarde,Metai,Miestas,Rungtis
3 Bronza,Aleksandr Kazakevic,2012,Londonas,Imtynes
2 Sidabras,Andrejus Zadneprovskis,2004,Atenai,Siuolaikine penkiakove
3 Bronza,Andrejus Zadneprovskis,2008,Pekinas,Siuolaikine penkiakove
3 Bronza,Aurimas Didzbalis,2016,Rio de Zaneiras,Sunkioji atletika
3 Bronza,Aurimas Lankas/Edvinas Ramanauskas,2016,Rio de Zaneiras,Baidariu ir kanoju irklavimas
2 Sidabras,Austra Skujyte,2004,Atenai,Lengvoji atletika
3 Bronza,Austra Skujyte,2012,Londonas,Lengvoji atletika
1 Auksas,Daina Gudzineviciute,2000,Sidnejus,Saudymas
3 Bronza,Diana Ziliute,2000,Sidnejus,Dviraciu sportas
3 Bronza,Donata Vistartaite/Milda Valciukaite,2016,Rio de Zaneiras,Akademinis irklavimas
2 Sidabras,Edvinas Krungolcas,2008,Pekinas,Siuolaikine penkiakove
3 Bronza,Evaldas Petrauskas,2012,Londonas,Boksas
2 Sidabras,Gintare Volungeviciute,2008,Pekinas,Buriavimas
2 Sidabras,Jevgenijus Suklinas,2012,Londonas,Baidariu ir kanoju irklavimas
3 Bronza,Kristina Poplavskaja/Birute Sakickiene,2000,Sidnejus,Irklavimas
1 Auksas,Laura Asadauskaite,2012,Londonas,Siuolaikine penkiakove
3 Bronza,Lietuvos vyru krepsinio rinktine,1992,Barselona,Krepsinis
3 Bronza,Lietuvos vyru krepsinio rinktine,1996,Atlanta,Krepsinis
3 Bronza,Lietuvos vyru krepsinio rinktine,2000,Sidnejus,Krepsinis
2 Sidabras,Mindaugas Griskonis/Saulius Ritter,2016,Rio de Zaneiras,Akademinis irklavimas
2 Sidabras,Mindaugas Mizgaitis,2008,Pekinas,Imtynes
1 Auksas,Romas Ubartas,1992,Barselona,Lengvoji atletika
1 Auksas,Ruta Meilutyte,2012,Londonas,Plaukimas
1 Auksas,Virgilijus Alekna,2000,Sidnejus,Lengvoji atletika
1 Auksas,Virgilijus Alekna,2004,Atenai,Lengvoji atletika
3 Bronza,Virgilijus Alekna,2008,Pekinas,Lengvoji atletika
